"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 04 19:45:43 MSK 2025","Fri Jul 04 19:45:43 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup50","checkup50()","Checkup 50 y.o. user"
"passed","Fri Jul 04 17:10:08 MSK 2025","Fri Jul 04 17:18:09 MSK 2025","480216","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","doctorConclusionTests","doctorConclusionTests()","Добавить, редактировать, удалить заключение врача"
"failed","Fri Jul 04 22:34:26 MSK 2025","Fri Jul 04 22:36:37 MSK 2025","130659","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingDecipheringAnalyzesWithChat","addingDecipheringAnalyzesWithChat()","Добавление расшифровки анализов очно в чате"
"skipped","Fri Jul 04 19:45:43 MSK 2025","Fri Jul 04 19:45:43 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup18","checkup18()","Checkup 18 y.o. user"
"skipped","Fri Jul 04 19:45:43 MSK 2025","Fri Jul 04 19:45:43 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup51","checkup51()","Checkup 51 y.o. user"
"skipped","Fri Jul 04 19:45:43 MSK 2025","Fri Jul 04 19:45:43 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup59","checkup59()","Checkup 59 y.o. user"
"passed","Fri Jul 04 18:52:15 MSK 2025","Fri Jul 04 18:55:14 MSK 2025","179046","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","questionnaireOpensForAdultPatient","questionnaireOpensForAdultPatient()","Опросник открывается для взрослого пациента при регистрации на онлайн-консультацию"
"failed","Fri Jul 04 22:29:54 MSK 2025","Fri Jul 04 22:32:10 MSK 2025","136592","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingReadmissionWithAudio","addingReadmissionWithAudio()","Добавление повторного приёма с аудиоконсультацией"
"passed","Fri Jul 04 17:22:34 MSK 2025","Fri Jul 04 17:29:33 MSK 2025","418981","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","instrumentalDiagnosticsTests","instrumentalDiagnosticsTests()","Добавить, редактировать, удалить инструментальную диагностику"
"broken","Fri Jul 04 21:37:14 MSK 2025","Fri Jul 04 21:40:28 MSK 2025","193367","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","needDayOffsFromOfflineConsultationQuestionnaire","needDayOffsFromOfflineConsultationQuestionnaire()","Отмена опросника для оффлайн-консультации"
"passed","Fri Jul 04 17:34:22 MSK 2025","Fri Jul 04 17:39:08 MSK 2025","286300","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","diseaseTests","diseaseTests()","Добавить и удалить заболевание"
"passed","Fri Jul 04 17:05:04 MSK 2025","Fri Jul 04 17:10:08 MSK 2025","303723","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","allergyTests","allergyTests()","Добавить и удалить аллергию"
"skipped","Fri Jul 04 19:45:43 MSK 2025","Fri Jul 04 19:45:43 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup28","checkup28()","Checkup 28 y.o. user"
"failed","Fri Jul 04 22:16:59 MSK 2025","Fri Jul 04 22:20:31 MSK 2025","211341","","MobileTesting.tests.BuySectionTest","","MobileTesting.tests.BuySectionTest","testOnlyOneSectionExpanded","testOnlyOneSectionExpanded()","Проверка: только одна секция может быть раскрыта одновременно"
"broken","Fri Jul 04 21:47:22 MSK 2025","Fri Jul 04 21:50:44 MSK 2025","202407","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","exitOfflineConsultationQuestionnaireAfterAccepting","exitOfflineConsultationQuestionnaireAfterAccepting()","Отмена опросника для оффлайн-консультации"
"broken","Fri Jul 04 21:33:44 MSK 2025","Fri Jul 04 21:37:14 MSK 2025","210673","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","chooseEnrollToSpecifiedDoctorOptionAfterQuestionnaire","chooseEnrollToSpecifiedDoctorOptionAfterQuestionnaire()","Выбрать опцию записи к конкретному врачу после прохождения опросника"
"failed","Fri Jul 04 22:46:13 MSK 2025","Fri Jul 04 22:48:22 MSK 2025","129841","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingDecipheringAnalyzesWithAudio","addingDecipheringAnalyzesWithAudio()","Добавление расшифровки анализов очно с аудиосвязью"
"failed","Fri Jul 04 22:32:10 MSK 2025","Fri Jul 04 22:34:26 MSK 2025","136099","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingOnlineConsultationWithVideo","addingOnlineConsultationWithVideo()","Добавление онлайн-консультации с видеозвонком"
"skipped","Fri Jul 04 19:36:14 MSK 2025","Fri Jul 04 19:36:14 MSK 2025","0","","MobileTesting.tests.AccountTest","","MobileTesting.tests.AccountTest","addInsuranceAV","addInsuranceAV()","Добавление добровольного медицинского страхования для взрослого"
"passed","Fri Jul 04 18:01:22 MSK 2025","Fri Jul 04 18:05:15 MSK 2025","233011","","MobileTesting.tests.BuySectionTest","","MobileTesting.tests.BuySectionTest","testTripsSectionOnly","testTripsSectionOnly()","Проверка: базовая работа секции Путешествия"
"skipped","Fri Jul 04 19:45:43 MSK 2025","Fri Jul 04 19:45:43 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup41","checkup41()","Checkup 41 y.o. user"
"passed","Fri Jul 04 21:24:17 MSK 2025","Fri Jul 04 21:31:24 MSK 2025","427353","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","analyzesTests","analyzesTests()","Добавить, редактировать, удалить анализы"
"passed","Fri Jul 04 17:52:46 MSK 2025","Fri Jul 04 17:55:54 MSK 2025","188313","","MobileTesting.tests.SmokeTest","","MobileTesting.tests.SmokeTest","onboarding","onboarding()","Onboarding"
"broken","Fri Jul 04 22:52:45 MSK 2025","Fri Jul 04 22:55:51 MSK 2025","186562","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","register","register()","Успешная регистрация"
"passed","Fri Jul 04 18:49:34 MSK 2025","Fri Jul 04 18:52:15 MSK 2025","160510","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","symptomsPageOpensAfterAcceptingQuestionnaire","symptomsPageOpensAfterAcceptingQuestionnaire()","Страница выбора симптомов открывается после принятия опросника"
"failed","Fri Jul 04 22:11:45 MSK 2025","Fri Jul 04 22:16:59 MSK 2025","314320","","MobileTesting.tests.BuySectionTest","","MobileTesting.tests.BuySectionTest","sectionsAndModalsTests","sectionsAndModalsTests()","Проверка открытия модальных окон, заголовков разделов и товаров"
"failed","Fri Jul 04 22:09:25 MSK 2025","Fri Jul 04 22:11:45 MSK 2025","140238","","MobileTesting.tests.BuySectionTest","","MobileTesting.tests.BuySectionTest","testAllSectionsExpandCollapse","testAllSectionsExpandCollapse()","Проверка: все секции разворачиваются и сворачиваются"
"skipped","Fri Jul 04 19:45:43 MSK 2025","Fri Jul 04 19:45:43 MSK 2025","0","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","cancelReg","cancelReg()","Отмена записи к врачу"
"failed","Fri Jul 04 22:25:15 MSK 2025","Fri Jul 04 22:27:40 MSK 2025","144955","","MobileTesting.tests.BuySectionTest","","MobileTesting.tests.BuySectionTest","testSectionsExpand","testSectionsExpand()","Проверка: секции кликабельны и раскрываются"
"broken","Fri Jul 04 21:57:32 MSK 2025","Fri Jul 04 22:00:56 MSK 2025","203933","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","navigatingThroughQuestionnaireScreens","navigatingThroughQuestionnaireScreens()","Навигация по экранам опросника"
"passed","Fri Jul 04 17:55:54 MSK 2025","Fri Jul 04 17:59:19 MSK 2025","204302","","MobileTesting.tests.SmokeTest","","MobileTesting.tests.SmokeTest","geolocation","geolocation()","Проверка местоположения (доступ разрешен, Мои данные -> Полис подробно -> Список клиник)"
"failed","Fri Jul 04 22:36:37 MSK 2025","Fri Jul 04 22:38:50 MSK 2025","132718","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingDecipheringAnalyzesWithVideo","addingDecipheringAnalyzesWithVideo()","Добавление расшифровки анализов очно с видеосвязью"
"passed","Fri Jul 04 17:29:33 MSK 2025","Fri Jul 04 17:34:22 MSK 2025","288969","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","vaccinationTests","vaccinationTests()","Добавить и удалить вакцинацию"
"passed","Fri Jul 04 19:27:27 MSK 2025","Fri Jul 04 19:36:14 MSK 2025","527751","","MobileTesting.tests.AccountTest","","MobileTesting.tests.AccountTest","recoveryPass","recoveryPass()","Восстановление пароля"
"skipped","Fri Jul 04 18:55:14 MSK 2025","Fri Jul 04 18:55:14 MSK 2025","0","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","questionnaireDoesNotOpenForChildPatientOnline","questionnaireDoesNotOpenForChildPatientOnline()","Опросник не открывается для пациента-ребенка при регистрации на онлайн-консультацию"
"failed","Fri Jul 04 22:48:22 MSK 2025","Fri Jul 04 22:50:34 MSK 2025","131946","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingOnlineConsultationWithChat","addingOnlineConsultationWithChat()","Добавление онлайн-консультации с чатом"
"passed","Fri Jul 04 17:18:09 MSK 2025","Fri Jul 04 17:22:33 MSK 2025","264813","","MobileTesting.tests.MedcardTest","","MobileTesting.tests.MedcardTest","operationTests","operationTests()","Добавить и удалить операцию"
"broken","Fri Jul 04 21:40:28 MSK 2025","Fri Jul 04 21:43:52 MSK 2025","203997","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","exitFromQuestionnaire","exitFromQuestionnaire()","Выход во время заполнения опросника"
"failed","Fri Jul 04 22:50:34 MSK 2025","Fri Jul 04 22:52:45 MSK 2025","130401","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingAnotherDoctorOpinion","addingAnotherDoctorOpinion()","Добавление консультации для получения второго врачебного мнения"
"passed","Fri Jul 04 19:17:45 MSK 2025","Fri Jul 04 19:27:27 MSK 2025","581258","","MobileTesting.tests.AccountTest","","MobileTesting.tests.AccountTest","changePassword","changePassword()","Смена пароля пользователя"
"passed","Fri Jul 04 19:03:32 MSK 2025","Fri Jul 04 19:10:42 MSK 2025","430633","","MobileTesting.tests.AccountTest","","MobileTesting.tests.AccountTest","registration","registration()","Регистрация пользователя"
"skipped","Fri Jul 04 19:36:14 MSK 2025","Fri Jul 04 19:36:14 MSK 2025","0","","MobileTesting.tests.AccountTest","","MobileTesting.tests.AccountTest","addInsuranceAM","addInsuranceAM()","Добавление обязательного медицинского страхования для взрослого"
"passed","Fri Jul 04 17:50:26 MSK 2025","Fri Jul 04 17:52:46 MSK 2025","139923","","MobileTesting.tests.SmokeTest","","MobileTesting.tests.SmokeTest","authorization","authorization()","Авторизация пользователя"
"broken","Fri Jul 04 21:43:52 MSK 2025","Fri Jul 04 21:47:22 MSK 2025","209999","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","goBackToSymptomsSelectionPage","goBackToSymptomsSelectionPage()","Пропустить выбор симптомов, затем вернуться на страницу выбора симптомов"
"passed","Fri Jul 04 17:59:19 MSK 2025","Fri Jul 04 18:01:22 MSK 2025","123144","","MobileTesting.tests.BuySectionTest","","MobileTesting.tests.BuySectionTest","testProductDetailNavigation","testProductDetailNavigation()","Проверка: переход к деталям продукта по стрелке"
"broken","Fri Jul 04 22:00:56 MSK 2025","Fri Jul 04 22:04:22 MSK 2025","205720","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","chooseEnrollToClinicOptionAfterQuestionnaire","chooseEnrollToClinicOptionAfterQuestionnaire()","Выбрать опцию записи в клинику после заполнения опросника"
"broken","Fri Jul 04 21:54:11 MSK 2025","Fri Jul 04 21:57:32 MSK 2025","201287","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","chooseEnrollToAnotherDoctorOptionAfterQuestionnaire","chooseEnrollToAnotherDoctorOptionAfterQuestionnaire()","Выбрать вариант записи к другому врачу после прохождения опросника"
"failed","Fri Jul 04 22:55:51 MSK 2025","Fri Jul 04 22:58:08 MSK 2025","136466","","MobileTesting.tests.EdnaChatTest","","MobileTesting.tests.EdnaChatTest","ednaChatTests","ednaChatTests()","Edna chat test"
"failed","Fri Jul 04 22:40:55 MSK 2025","Fri Jul 04 22:43:11 MSK 2025","135722","","MobileTesting.tests.ConsultationTest","","MobileTesting.tests.ConsultationTest","addingReadmissionWithChat","addingReadmissionWithChat()","Добавление повторной консультации в чате"
"broken","Fri Jul 04 21:50:44 MSK 2025","Fri Jul 04 21:54:11 MSK 2025","206809","","MobileTesting.tests.QuestionnaireTest","","MobileTesting.tests.QuestionnaireTest","refuseOfflineConsultationQuestionnaireForAdult","refuseOfflineConsultationQuestionnaireForAdult()","Отмена опросника для оффлайн-консультации"
"skipped","Fri Jul 04 19:36:14 MSK 2025","Fri Jul 04 19:36:14 MSK 2025","0","","MobileTesting.tests.AccountTest","","MobileTesting.tests.AccountTest","addInsuranceCV","addInsuranceCV()","Добавление добровольного медицинского страхования для ребенка"
"skipped","Fri Jul 04 19:42:34 MSK 2025","Fri Jul 04 19:42:34 MSK 2025","0","","MobileTesting.tests.ElregTest","","MobileTesting.tests.ElregTest","conclusion","conclusion()","Добавление, редактирование и просмотр заключения"
"passed","Fri Jul 04 19:10:42 MSK 2025","Fri Jul 04 19:17:45 MSK 2025","423069","","MobileTesting.tests.AccountTest","","MobileTesting.tests.AccountTest","delete","delete()","Удаление аккаунта"
"skipped","Fri Jul 04 19:45:43 MSK 2025","Fri Jul 04 19:45:43 MSK 2025","0","","MobileTesting.tests.CheckupTest","","MobileTesting.tests.CheckupTest","checkup40","checkup40()","Checkup 40 y.o. user"
